  Plane: 5  AbsVfatID: 504  DeadChannel: 34
  Plane: 5  AbsVfatID: 512  DeadChannel: 119
  Plane: 5  AbsVfatID: 512  DeadChannel: 121
  Plane: 5  AbsVfatID: 512  DeadChannel: 123
  Plane: 5  AbsVfatID: 516  DeadChannel: 76
  Plane: 6  AbsVfatID: 609  DeadChannel: 40
  Plane: 6  AbsVfatID: 609  DeadChannel: 108
  Plane: 6  AbsVfatID: 609  DeadChannel: 110
  Plane: 8  AbsVfatID: 806  DeadChannel: 119
  Plane: 11  AbsVfatID: 1104  DeadChannel: 63
  Plane: 13  AbsVfatID: 1316  DeadChannel: 104
  Plane: 16  AbsVfatID: 1610  DeadChannel: 4
  Plane: 17  AbsVfatID: 1700  DeadChannel: 60
  Plane: 17  AbsVfatID: 1700  DeadChannel: 64
  Plane: 17  AbsVfatID: 1700  DeadChannel: 76
  Plane: 17  AbsVfatID: 1704  DeadChannel: 6
  Plane: 17  AbsVfatID: 1704  DeadChannel: 12
  Plane: 19  AbsVfatID: 1905  DeadChannel: 4
  Plane: 21  AbsVfatID: 2100  DeadChannel: 128
  Plane: 21  AbsVfatID: 2101  DeadChannel: 1
  Plane: 21  AbsVfatID: 2102  DeadChannel: 52
  Plane: 21  AbsVfatID: 2102  DeadChannel: 100
  Plane: 21  AbsVfatID: 2102  DeadChannel: 103
  Plane: 21  AbsVfatID: 2102  DeadChannel: 104
  Plane: 21  AbsVfatID: 2103  DeadChannel: 4
  Plane: 21  AbsVfatID: 2103  DeadChannel: 28
  Plane: 21  AbsVfatID: 2103  DeadChannel: 43
  Plane: 21  AbsVfatID: 2105  DeadChannel: 4
  Plane: 21  AbsVfatID: 2105  DeadChannel: 5
  Plane: 21  AbsVfatID: 2109  DeadChannel: 4
  Plane: 21  AbsVfatID: 2109  DeadChannel: 31
  Plane: 21  AbsVfatID: 2109  DeadChannel: 76
  Plane: 21  AbsVfatID: 2109  DeadChannel: 112
  Plane: 21  AbsVfatID: 2110  DeadChannel: 41
  Plane: 21  AbsVfatID: 2110  DeadChannel: 69
  Plane: 21  AbsVfatID: 2110  DeadChannel: 79
  Plane: 21  AbsVfatID: 2110  DeadChannel: 99
  Plane: 21  AbsVfatID: 2112  DeadChannel: 67
  Plane: 21  AbsVfatID: 2112  DeadChannel: 76
  Plane: 21  AbsVfatID: 2114  DeadChannel: 4
  Plane: 21  AbsVfatID: 2114  DeadChannel: 7
  Plane: 21  AbsVfatID: 2114  DeadChannel: 42
  Plane: 21  AbsVfatID: 2115  DeadChannel: 128
  Plane: 21  AbsVfatID: 2116  DeadChannel: 1
  Plane: 21  AbsVfatID: 2116  DeadChannel: 2
  Plane: 21  AbsVfatID: 2116  DeadChannel: 3
  Plane: 24  AbsVfatID: 2410  DeadChannel: 80
  Plane: 24  AbsVfatID: 2410  DeadChannel: 120
  Plane: 24  AbsVfatID: 2410  DeadChannel: 123
  Plane: 25  AbsVfatID: 2514  DeadChannel: 122
  Plane: 26  AbsVfatID: 2610  DeadChannel: 119
  Plane: 26  AbsVfatID: 2610  DeadChannel: 121
  Plane: 26  AbsVfatID: 2610  DeadChannel: 123
  Plane: 27  AbsVfatID: 2703  DeadChannel: 39
  Plane: 27  AbsVfatID: 2716  DeadChannel: 45
  Plane: 28  AbsVfatID: 2805  DeadChannel: 103
  Plane: 28  AbsVfatID: 2805  DeadChannel: 109
  Plane: 28  AbsVfatID: 2807  DeadChannel: 30
  Plane: 28  AbsVfatID: 2808  DeadChannel: 9
  Plane: 28  AbsVfatID: 2808  DeadChannel: 81
  Plane: 28  AbsVfatID: 2809  DeadChannel: 7
  Plane: 28  AbsVfatID: 2809  DeadChannel: 8
  Plane: 28  AbsVfatID: 2809  DeadChannel: 9
  Plane: 28  AbsVfatID: 2809  DeadChannel: 31
  Plane: 28  AbsVfatID: 2809  DeadChannel: 32
  Plane: 28  AbsVfatID: 2809  DeadChannel: 33
  Plane: 28  AbsVfatID: 2809  DeadChannel: 55
  Plane: 28  AbsVfatID: 2809  DeadChannel: 56
  Plane: 28  AbsVfatID: 2809  DeadChannel: 57
  Plane: 28  AbsVfatID: 2809  DeadChannel: 59
  Plane: 28  AbsVfatID: 2809  DeadChannel: 77
  Plane: 28  AbsVfatID: 2809  DeadChannel: 78
  Plane: 28  AbsVfatID: 2809  DeadChannel: 79
  Plane: 28  AbsVfatID: 2809  DeadChannel: 80
  Plane: 28  AbsVfatID: 2809  DeadChannel: 81
  Plane: 28  AbsVfatID: 2809  DeadChannel: 83
  Plane: 28  AbsVfatID: 2812  DeadChannel: 7
  Plane: 28  AbsVfatID: 2812  DeadChannel: 8
  Plane: 28  AbsVfatID: 2812  DeadChannel: 9
  Plane: 28  AbsVfatID: 2812  DeadChannel: 31
  Plane: 28  AbsVfatID: 2812  DeadChannel: 32
  Plane: 28  AbsVfatID: 2812  DeadChannel: 33
  Plane: 28  AbsVfatID: 2812  DeadChannel: 55
  Plane: 28  AbsVfatID: 2812  DeadChannel: 56
  Plane: 28  AbsVfatID: 2812  DeadChannel: 57
  Plane: 28  AbsVfatID: 2812  DeadChannel: 58
  Plane: 28  AbsVfatID: 2812  DeadChannel: 59
  Plane: 28  AbsVfatID: 2812  DeadChannel: 79
  Plane: 28  AbsVfatID: 2812  DeadChannel: 80
  Plane: 28  AbsVfatID: 2812  DeadChannel: 81
  Plane: 28  AbsVfatID: 2812  DeadChannel: 103
  Plane: 28  AbsVfatID: 2812  DeadChannel: 104
  Plane: 28  AbsVfatID: 2812  DeadChannel: 105
  Plane: 28  AbsVfatID: 2813  DeadChannel: 7
  Plane: 28  AbsVfatID: 2813  DeadChannel: 8
  Plane: 28  AbsVfatID: 2813  DeadChannel: 9
  Plane: 28  AbsVfatID: 2813  DeadChannel: 33
  Plane: 28  AbsVfatID: 2813  DeadChannel: 55
  Plane: 28  AbsVfatID: 2813  DeadChannel: 56
  Plane: 28  AbsVfatID: 2813  DeadChannel: 57
  Plane: 28  AbsVfatID: 2813  DeadChannel: 79
  Plane: 28  AbsVfatID: 2813  DeadChannel: 80
  Plane: 28  AbsVfatID: 2813  DeadChannel: 81
  Plane: 28  AbsVfatID: 2814  DeadChannel: 9
  Plane: 31  AbsVfatID: 3108  DeadChannel: 20
  Plane: 31  AbsVfatID: 3108  DeadChannel: 24
  Plane: 33  AbsVfatID: 3313  DeadChannel: 11
