DetId: 5	VFat_iid: 7	CorruptProb: 0
DetId: 6	VFat_iid: 12	CorruptProb: 0
DetId: 8	VFat_iid: 10	CorruptProb: 0
DetId: 10	VFat_iid: 12	CorruptProb: 0
DetId: 10	VFat_iid: 13	CorruptProb: 0
DetId: 13	VFat_iid: 9	CorruptProb: 0
DetId: 14	VFat_iid: 1	CorruptProb: 0
DetId: 20	VFat_iid: 8	CorruptProb: 0
DetId: 21	VFat_iid: 13	CorruptProb: 0
DetId: 22	VFat_iid: 12	CorruptProb: 0
DetId: 24	VFat_iid: 2	CorruptProb: 0
DetId: 29	VFat_iid: 2	CorruptProb: 0
DetId: 30	VFat_iid: 3	CorruptProb: 0
DetId: 30	VFat_iid: 13	CorruptProb: 0
DetId: 31	VFat_iid: 14	CorruptProb: 0
DetId: 33	VFat_iid: 1	CorruptProb: 0
DetId: 34	VFat_iid: 15	CorruptProb: 0
DetId: 35	VFat_iid: 0	CorruptProb: 0
DetId: 35	VFat_iid: 1	CorruptProb: 0
DetId: 35	VFat_iid: 15	CorruptProb: 0
DetId: 35	VFat_iid: 16	CorruptProb: 0
