#             eta             phi             dep             det     cap0     cap1     cap2     cap3      DetId
              -12              63               1              HB  0.16737  0.16737  0.16737  0.16737   4200463F
              -13              63               1              HB  0.17522  0.17522  0.17522  0.17522   420046BF
              -14              63               1              HB  0.16019  0.16019  0.16019  0.16019   4200473F
              -15              63               1              HB  0.14838  0.14838  0.14838  0.14838   420047BF
              -15              63               2              HB  0.11555  0.11555  0.11555  0.11555   420087BF
              -16              63               1              HB  0.13341  0.13341  0.13341  0.13341   4200483F
              -16              63               2              HB  0.12794  0.12794  0.12794  0.12794   4200883F
               -1              64               1              HB  0.26077  0.26077  0.26077  0.26077   420040C0
               -2              64               1              HB  0.19903  0.19903  0.19903  0.19903   42004140
               -3              64               1              HB  0.20358  0.20358  0.20358  0.20358   420041C0
               -4              64               1              HB  0.21106  0.21106  0.21106  0.21106   42004240
               -5              64               1              HB  0.22288  0.22288  0.22288  0.22288   420042C0
               -6              64               1              HB  0.18311  0.18311  0.18311  0.18311   42004340
               -7              64               1              HB  0.17604  0.17604  0.17604  0.17604   420043C0
               -8              64               1              HB  0.19509  0.19509  0.19509  0.19509   42004440
               -9              64               1              HB  0.22620  0.22620  0.22620  0.22620   420044C0
              -10              64               1              HB  0.16055  0.16055  0.16055  0.16055   42004540
              -11              64               1              HB  0.16040  0.16040  0.16040  0.16040   420045C0
              -12              64               1              HB  0.18388  0.18388  0.18388  0.18388   42004640
              -13              64               1              HB  0.19881  0.19881  0.19881  0.19881   420046C0
              -14              64               1              HB  0.18114  0.18114  0.18114  0.18114   42004740
              -15              64               1              HB  0.15183  0.15183  0.15183  0.15183   420047C0
              -15              64               2              HB  0.14767  0.14767  0.14767  0.14767   420087C0
              -16              64               1              HB  0.13262  0.13262  0.13262  0.13262   42004840
              -16              64               2              HB  0.16787  0.16787  0.16787  0.16787   42008840
               -1              65               1              HB  0.24379  0.24379  0.24379  0.24379   420040C1
               -2              65               1              HB  0.23563  0.23563  0.23563  0.23563   42004141
               -3              65               1              HB  0.23097  0.23097  0.23097  0.23097   420041C1
               -4              65               1              HB  0.23184  0.23184  0.23184  0.23184   42004241
               -5              65               1              HB  0.22354  0.22354  0.22354  0.22354   420042C1
               -6              65               1              HB  0.22564  0.22564  0.22564  0.22564   42004341
               -7              65               1              HB  0.20096  0.20096  0.20096  0.20096   420043C1
               -8              65               1              HB  0.19835  0.19835  0.19835  0.19835   42004441
               -9              65               1              HB  0.19174  0.19174  0.19174  0.19174   420044C1
              -10              65               1              HB  0.18967  0.18967  0.18967  0.18967   42004541
              -11              65               1              HB  0.18251  0.18251  0.18251  0.18251   420045C1
              -12              65               1              HB  0.18016  0.18016  0.18016  0.18016   42004641
              -13              65               1              HB  0.16765  0.16765  0.16765  0.16765   420046C1
              -14              65               1              HB  0.16859  0.16859  0.16859  0.16859   42004741
              -15              65               1              HB  0.14260  0.14260  0.14260  0.14260   420047C1
              -15              65               2              HB  0.17353  0.17353  0.17353  0.17353   420087C1
              -16              65               1              HB  0.17322  0.17322  0.17322  0.17322   42004841
              -16              65               2              HB  0.14064  0.14064  0.14064  0.14064   42008841
               -1              66               1              HB  0.25304  0.25304  0.25304  0.25304   420040C2
               -2              66               1              HB  0.23968  0.23968  0.23968  0.23968   42004142
               -3              66               1              HB  0.23662  0.23662  0.23662  0.23662   420041C2
               -4              66               1              HB  0.21702  0.21702  0.21702  0.21702   42004242
               -5              66               1              HB  0.22486  0.22486  0.22486  0.22486   420042C2
               -6              66               1              HB  0.21969  0.21969  0.21969  0.21969   42004342
               -7              66               1              HB  0.21222  0.21222  0.21222  0.21222   420043C2
               -8              66               1              HB  0.18217  0.18217  0.18217  0.18217   42004442
               -9              66               1              HB  0.18837  0.18837  0.18837  0.18837   420044C2
              -10              66               1              HB  0.18453  0.18453  0.18453  0.18453   42004542
              -11              66               1              HB  0.18679  0.18679  0.18679  0.18679   420045C2
              -12              66               1              HB  0.16266  0.16266  0.16266  0.16266   42004642
              -13              66               1              HB  0.18864  0.18864  0.18864  0.18864   420046C2
              -14              66               1              HB  0.16943  0.16943  0.16943  0.16943   42004742
              -15              66               1              HB  0.14533  0.14533  0.14533  0.14533   420047C2
              -15              66               2              HB  0.12251  0.12251  0.12251  0.12251   420087C2
              -16              66               1              HB  0.15105  0.15105  0.15105  0.15105   42004842
              -16              66               2              HB  0.13627  0.13627  0.13627  0.13627   42008842
               -1              67               1              HB  0.22205  0.22205  0.22205  0.22205   420040C3
               -2              67               1              HB  0.22577  0.22577  0.22577  0.22577   42004143
               -3              67               1              HB  0.22541  0.22541  0.22541  0.22541   420041C3
               -4              67               1              HB  0.20776  0.20776  0.20776  0.20776   42004243
               -5              67               1              HB  0.22264  0.22264  0.22264  0.22264   420042C3
               -6              67               1              HB  0.22721  0.22721  0.22721  0.22721   42004343
               -7              67               1              HB  0.20565  0.20565  0.20565  0.20565   420043C3
               -8              67               1              HB  0.18200  0.18200  0.18200  0.18200   42004443
               -9              67               1              HB  0.19784  0.19784  0.19784  0.19784   420044C3
              -10              67               1              HB  0.20035  0.20035  0.20035  0.20035   42004543
              -11              67               1              HB  0.17629  0.17629  0.17629  0.17629   420045C3
              -12              67               1              HB  0.17823  0.17823  0.17823  0.17823   42004643
              -13              67               1              HB  0.18604  0.18604  0.18604  0.18604   420046C3
              -14              67               1              HB  0.18628  0.18628  0.18628  0.18628   42004743
              -15              67               1              HB  0.13502  0.13502  0.13502  0.13502   420047C3
              -15              67               2              HB  0.12264  0.12264  0.12264  0.12264   420087C3
              -16              67               1              HB  0.17308  0.17308  0.17308  0.17308   42004843
              -16              67               2              HB  0.14349  0.14349  0.14349  0.14349   42008843
               -1              68               1              HB  0.19659  0.19659  0.19659  0.19659   420040C4
               -2              68               1              HB  0.20266  0.20266  0.20266  0.20266   42004144
               -3              68               1              HB  0.18141  0.18141  0.18141  0.18141   420041C4
               -4              68               1              HB  0.22088  0.22088  0.22088  0.22088   42004244
               -5              68               1              HB  0.21937  0.21937  0.21937  0.21937   420042C4
               -6              68               1              HB  0.17375  0.17375  0.17375  0.17375   42004344
               -7              68               1              HB  0.18769  0.18769  0.18769  0.18769   420043C4
               -8              68               1              HB  0.20484  0.20484  0.20484  0.20484   42004444
               -9              68               1              HB  0.19647  0.19647  0.19647  0.19647   420044C4
              -10              68               1              HB  0.17687  0.17687  0.17687  0.17687   42004544
              -11              68               1              HB  0.18295  0.18295  0.18295  0.18295   420045C4
              -12              68               1              HB  0.19224  0.19224  0.19224  0.19224   42004644
              -13              68               1              HB  0.17074  0.17074  0.17074  0.17074   420046C4
              -14              68               1              HB  0.14685  0.14685  0.14685  0.14685   42004744
              -15              68               1              HB  0.14249  0.14249  0.14249  0.14249   420047C4
              -15              68               2              HB  0.11596  0.11596  0.11596  0.11596   420087C4
              -16              68               1              HB  0.15605  0.15605  0.15605  0.15605   42004844
              -16              68               2              HB  0.14126  0.14126  0.14126  0.14126   42008844
               -1              69               1              HB  0.24484  0.24484  0.24484  0.24484   420040C5
               -2              69               1              HB  0.23272  0.23272  0.23272  0.23272   42004145
               -3              69               1              HB  0.22322  0.22322  0.22322  0.22322   420041C5
               -4              69               1              HB  0.23718  0.23718  0.23718  0.23718   42004245
               -5              69               1              HB  0.24075  0.24075  0.24075  0.24075   420042C5
               -6              69               1              HB  0.22055  0.22055  0.22055  0.22055   42004345
               -7              69               1              HB  0.19867  0.19867  0.19867  0.19867   420043C5
               -8              69               1              HB  0.18924  0.18924  0.18924  0.18924   42004445
               -9              69               1              HB  0.22624  0.22624  0.22624  0.22624   420044C5
              -10              69               1              HB  0.18668  0.18668  0.18668  0.18668   42004545
              -11              69               1              HB  0.17310  0.17310  0.17310  0.17310   420045C5
              -12              69               1              HB  0.18226  0.18226  0.18226  0.18226   42004645
              -13              69               1              HB  0.18321  0.18321  0.18321  0.18321   420046C5
              -14              69               1              HB  0.16425  0.16425  0.16425  0.16425   42004745
              -15              69               1              HB  0.15544  0.15544  0.15544  0.15544   420047C5
              -15              69               2              HB  0.13822  0.13822  0.13822  0.13822   420087C5
              -16              69               1              HB  0.21390  0.21390  0.21390  0.21390   42004845
              -16              69               2              HB  0.13275  0.13275  0.13275  0.13275   42008845
               -1              70               1              HB  0.24243  0.24243  0.24243  0.24243   420040C6
               -2              70               1              HB  0.23668  0.23668  0.23668  0.23668   42004146
               -3              70               1              HB  0.22365  0.22365  0.22365  0.22365   420041C6
               -4              70               1              HB  0.22998  0.22998  0.22998  0.22998   42004246
               -5              70               1              HB  0.21300  0.21300  0.21300  0.21300   420042C6
               -6              70               1              HB  0.19686  0.19686  0.19686  0.19686   42004346
               -7              70               1              HB  0.19541  0.19541  0.19541  0.19541   420043C6
               -8              70               1              HB  0.21324  0.21324  0.21324  0.21324   42004446
               -9              70               1              HB  0.18965  0.18965  0.18965  0.18965   420044C6
              -10              70               1              HB  0.17427  0.17427  0.17427  0.17427   42004546
              -11              70               1              HB  0.18888  0.18888  0.18888  0.18888   420045C6
              -12              70               1              HB  0.19202  0.19202  0.19202  0.19202   42004646
              -13              70               1              HB  0.13320  0.13320  0.13320  0.13320   420046C6
              -14              70               1              HB  0.13087  0.13087  0.13087  0.13087   42004746
              -15              70               1              HB  0.16182  0.16182  0.16182  0.16182   420047C6
              -15              70               2              HB  0.10833  0.10833  0.10833  0.10833   420087C6
              -16              70               1              HB  0.17003  0.17003  0.17003  0.17003   42004846
              -16              70               2              HB  0.13620  0.13620  0.13620  0.13620   42008846
               -1              71               1              HB  0.22693  0.22693  0.22693  0.22693   420040C7
               -2              71               1              HB  0.22078  0.22078  0.22078  0.22078   42004147
               -3              71               1              HB  0.21007  0.21007  0.21007  0.21007   420041C7
               -4              71               1              HB  0.21106  0.21106  0.21106  0.21106   42004247
               -5              71               1              HB  0.21175  0.21175  0.21175  0.21175   420042C7
               -6              71               1              HB  0.20806  0.20806  0.20806  0.20806   42004347
               -7              71               1              HB  0.19254  0.19254  0.19254  0.19254   420043C7
               -8              71               1              HB  0.19446  0.19446  0.19446  0.19446   42004447
               -9              71               1              HB  0.18920  0.18920  0.18920  0.18920   420044C7
              -10              71               1              HB  0.18908  0.18908  0.18908  0.18908   42004547
              -11              71               1              HB  0.18075  0.18075  0.18075  0.18075   420045C7
              -12              71               1              HB  0.18473  0.18473  0.18473  0.18473   42004647
              -13              71               1              HB  0.18885  0.18885  0.18885  0.18885   420046C7
              -14              71               1              HB  0.17141  0.17141  0.17141  0.17141   42004747
              -15              71               1              HB  0.14517  0.14517  0.14517  0.14517   420047C7
              -15              71               2              HB  0.11271  0.11271  0.11271  0.11271   420087C7
              -16              71               1              HB  0.16667  0.16667  0.16667  0.16667   42004847
              -16              71               2              HB  0.15123  0.15123  0.15123  0.15123   42008847
               -1              72               1              HB  0.21935  0.21935  0.21935  0.21935   420040C8
               -2              72               1              HB  0.18221  0.18221  0.18221  0.18221   42004148
               -3              72               1              HB  0.20460  0.20460  0.20460  0.20460   420041C8
               -4              72               1              HB  0.19774  0.19774  0.19774  0.19774   42004248
               -5              72               1              HB  0.20929  0.20929  0.20929  0.20929   420042C8
               -6              72               1              HB  0.15766  0.15766  0.15766  0.15766   42004348
               -7              72               1              HB  0.17367  0.17367  0.17367  0.17367   420043C8
               -8              72               1              HB  0.18936  0.18936  0.18936  0.18936   42004448
               -9              72               1              HB  0.17366  0.17366  0.17366  0.17366   420044C8
              -10              72               1              HB  0.15716  0.15716  0.15716  0.15716   42004548
              -11              72               1              HB  0.16236  0.16236  0.16236  0.16236   420045C8
              -12              72               1              HB  0.17615  0.17615  0.17615  0.17615   42004648
              -13              72               1              HB  0.17823  0.17823  0.17823  0.17823   420046C8
              -14              72               1              HB  0.14811  0.14811  0.14811  0.14811   42004748
              -15              72               1              HB  0.14458  0.14458  0.14458  0.14458   420047C8
              -15              72               2              HB  0.12787  0.12787  0.12787  0.12787   420087C8
              -16              72               1              HB  0.16227  0.16227  0.16227  0.16227   42004848
              -16              72               2              HB  0.12203  0.12203  0.12203  0.12203   42008848
                1               1               1              HB  0.21549  0.21549  0.21549  0.21549   42006081
                2               1               1              HB  0.21706  0.21706  0.21706  0.21706   42006101
                3               1               1              HB  0.21506  0.21506  0.21506  0.21506   42006181
                4               1               1              HB  0.21893  0.21893  0.21893  0.21893   42006201
                5               1               1              HB  0.22250  0.22250  0.22250  0.22250   42006281
                6               1               1              HB  0.20494  0.20494  0.20494  0.20494   42006301
                7               1               1              HB  0.20152  0.20152  0.20152  0.20152   42006381
                8               1               1              HB  0.20917  0.20917  0.20917  0.20917   42006401
                9               1               1              HB  0.18922  0.18922  0.18922  0.18922   42006481
               10               1               1              HB  0.18833  0.18833  0.18833  0.18833   42006501
               11               1               1              HB  0.17792  0.17792  0.17792  0.17792   42006581
               12               1               1              HB  0.17478  0.17478  0.17478  0.17478   42006601
               13               1               1              HB  0.17715  0.17715  0.17715  0.17715   42006681
               14               1               1              HB  0.16488  0.16488  0.16488  0.16488   42006701
               15               1               1              HB  0.14966  0.14966  0.14966  0.14966   42006781
               15               1               2              HB  0.13786  0.13786  0.13786  0.13786   4200A781
               16               1               1              HB  0.18226  0.18226  0.18226  0.18226   42006801
               16               1               2              HB  0.12485  0.12485  0.12485  0.12485   4200A801
                1               2               1              HB  0.23386  0.23386  0.23386  0.23386   42006082
                2               2               1              HB  0.23276  0.23276  0.23276  0.23276   42006102
                3               2               1              HB  0.24347  0.24347  0.24347  0.24347   42006182
                4               2               1              HB  0.23151  0.23151  0.23151  0.23151   42006202
                5               2               1              HB  0.22104  0.22104  0.22104  0.22104   42006282
                6               2               1              HB  0.22285  0.22285  0.22285  0.22285   42006302
                7               2               1              HB  0.20925  0.20925  0.20925  0.20925   42006382
                8               2               1              HB  0.23164  0.23164  0.23164  0.23164   42006402
                9               2               1              HB  0.19810  0.19810  0.19810  0.19810   42006482
               10               2               1              HB  0.18693  0.18693  0.18693  0.18693   42006502
               11               2               1              HB  0.15952  0.15952  0.15952  0.15952   42006582
               12               2               1              HB  0.18532  0.18532  0.18532  0.18532   42006602
               13               2               1              HB  0.16876  0.16876  0.16876  0.16876   42006682
               14               2               1              HB  0.16332  0.16332  0.16332  0.16332   42006702
               15               2               1              HB  0.14287  0.14287  0.14287  0.14287   42006782
               15               2               2              HB  0.12963  0.12963  0.12963  0.12963   4200A782
               16               2               1              HB  0.14925  0.14925  0.14925  0.14925   42006802
               16               2               2              HB  0.12422  0.12422  0.12422  0.12422   4200A802
                1               3               1              HB  0.20371  0.20371  0.20371  0.20371   42006083
                2               3               1              HB  0.21462  0.21462  0.21462  0.21462   42006103
                3               3               1              HB  0.24734  0.24734  0.24734  0.24734   42006183
                4               3               1              HB  0.20411  0.20411  0.20411  0.20411   42006203
                5               3               1              HB  0.20944  0.20944  0.20944  0.20944   42006283
                6               3               1              HB  0.22967  0.22967  0.22967  0.22967   42006303
                7               3               1              HB  0.22820  0.22820  0.22820  0.22820   42006383
                8               3               1              HB  0.19894  0.19894  0.19894  0.19894   42006403
                9               3               1              HB  0.20404  0.20404  0.20404  0.20404   42006483
               10               3               1              HB  0.20566  0.20566  0.20566  0.20566   42006503
               11               3               1              HB  0.21727  0.21727  0.21727  0.21727   42006583
               12               3               1              HB  0.19980  0.19980  0.19980  0.19980   42006603
               13               3               1              HB  0.18239  0.18239  0.18239  0.18239   42006683
               14               3               1              HB  0.18265  0.18265  0.18265  0.18265   42006703
               15               3               1              HB  0.17726  0.17726  0.17726  0.17726   42006783
               15               3               2              HB  0.13365  0.13365  0.13365  0.13365   4200A783
               16               3               1              HB  0.17986  0.17986  0.17986  0.17986   42006803
               16               3               2              HB  0.18435  0.18435  0.18435  0.18435   4200A803
                1               4               1              HB  0.24771  0.24771  0.24771  0.24771   42006084
                2               4               1              HB  0.23693  0.23693  0.23693  0.23693   42006104
                3               4               1              HB  0.23485  0.23485  0.23485  0.23485   42006184
                4               4               1              HB  0.22557  0.22557  0.22557  0.22557   42006204
                5               4               1              HB  0.22191  0.22191  0.22191  0.22191   42006284
                6               4               1              HB  0.23668  0.23668  0.23668  0.23668   42006304
                7               4               1              HB  0.22043  0.22043  0.22043  0.22043   42006384
                8               4               1              HB  0.21682  0.21682  0.21682  0.21682   42006404
                9               4               1              HB  0.22144  0.22144  0.22144  0.22144   42006484
               10               4               1              HB  0.21560  0.21560  0.21560  0.21560   42006504
               11               4               1              HB  0.20749  0.20749  0.20749  0.20749   42006584
               12               4               1              HB  0.20847  0.20847  0.20847  0.20847   42006604
               13               4               1              HB  0.17064  0.17064  0.17064  0.17064   42006684
               14               4               1              HB  0.16675  0.16675  0.16675  0.16675   42006704
               15               4               1              HB  0.14402  0.14402  0.14402  0.14402   42006784
               15               4               2              HB  0.14622  0.14622  0.14622  0.14622   4200A784
               16               4               1              HB  0.15783  0.15783  0.15783  0.15783   42006804
               16               4               2              HB  0.14825  0.14825  0.14825  0.14825   4200A804
                1               5               1              HB  0.18454  0.18454  0.18454  0.18454   42006085
                2               5               1              HB  0.22870  0.22870  0.22870  0.22870   42006105
                3               5               1              HB  0.19643  0.19643  0.19643  0.19643   42006185
                4               5               1              HB  0.18098  0.18098  0.18098  0.18098   42006205
                5               5               1              HB  0.16059  0.16059  0.16059  0.16059   42006285
                6               5               1              HB  0.21881  0.21881  0.21881  0.21881   42006305
                7               5               1              HB  0.21959  0.21959  0.21959  0.21959   42006385
                8               5               1              HB  0.15943  0.15943  0.15943  0.15943   42006405
                9               5               1              HB  0.14915  0.14915  0.14915  0.14915   42006485
               10               5               1              HB  0.19236  0.19236  0.19236  0.19236   42006505
               11               5               1              HB  0.19560  0.19560  0.19560  0.19560   42006585
               12               5               1              HB  0.17559  0.17559  0.17559  0.17559   42006605
               13               5               1              HB  0.13228  0.13228  0.13228  0.13228   42006685
               14               5               1              HB  0.17669  0.17669  0.17669  0.17669   42006705
               15               5               1              HB  0.16009  0.16009  0.16009  0.16009   42006785
               15               5               2              HB  0.13182  0.13182  0.13182  0.13182   4200A785
               16               5               1              HB  0.10646  0.10646  0.10646  0.10646   42006805
               16               5               2              HB  0.12840  0.12840  0.12840  0.12840   4200A805
                1               6               1              HB  0.21508  0.21508  0.21508  0.21508   42006086
                2               6               1              HB  0.20889  0.20889  0.20889  0.20889   42006106
                3               6               1              HB  0.21885  0.21885  0.21885  0.21885   42006186
                4               6               1              HB  0.19832  0.19832  0.19832  0.19832   42006206
                5               6               1              HB  0.21594  0.21594  0.21594  0.21594   42006286
                6               6               1              HB  0.21500  0.21500  0.21500  0.21500   42006306
                7               6               1              HB  0.22611  0.22611  0.22611  0.22611   42006386
                8               6               1              HB  0.20348  0.20348  0.20348  0.20348   42006406
                9               6               1              HB  0.19968  0.19968  0.19968  0.19968   42006486
               10               6               1              HB  0.19394  0.19394  0.19394  0.19394   42006506
               11               6               1              HB  0.20214  0.20214  0.20214  0.20214   42006586
               12               6               1              HB  0.18969  0.18969  0.18969  0.18969   42006606
               13               6               1              HB  0.18337  0.18337  0.18337  0.18337   42006686
               14               6               1              HB  0.15017  0.15017  0.15017  0.15017   42006706
               15               6               1              HB  0.14932  0.14932  0.14932  0.14932   42006786
               15               6               2              HB  0.11789  0.11789  0.11789  0.11789   4200A786
               16               6               1              HB  0.16005  0.16005  0.16005  0.16005   42006806
               16               6               2              HB  0.15244  0.15244  0.15244  0.15244   4200A806
                1               7               1              HB  0.21631  0.21631  0.21631  0.21631   42006087
                2               7               1              HB  0.22252  0.22252  0.22252  0.22252   42006107
                3               7               1              HB  0.23224  0.23224  0.23224  0.23224   42006187
                4               7               1              HB  0.20956  0.20956  0.20956  0.20956   42006207
                5               7               1              HB  0.19527  0.19527  0.19527  0.19527   42006287
                6               7               1              HB  0.20773  0.20773  0.20773  0.20773   42006307
                7               7               1              HB  0.19755  0.19755  0.19755  0.19755   42006387
                8               7               1              HB  0.19237  0.19237  0.19237  0.19237   42006407
                9               7               1              HB  0.18004  0.18004  0.18004  0.18004   42006487
               10               7               1              HB  0.18718  0.18718  0.18718  0.18718   42006507
               11               7               1              HB  0.19285  0.19285  0.19285  0.19285   42006587
               12               7               1              HB  0.17286  0.17286  0.17286  0.17286   42006607
               13               7               1              HB  0.18330  0.18330  0.18330  0.18330   42006687
               14               7               1              HB  0.16399  0.16399  0.16399  0.16399   42006707
               15               7               1              HB  0.14144  0.14144  0.14144  0.14144   42006787
               15               7               2              HB  0.10902  0.10902  0.10902  0.10902   4200A787
               16               7               1              HB  0.15128  0.15128  0.15128  0.15128   42006807
               16               7               2              HB  0.13302  0.13302  0.13302  0.13302   4200A807
                1               8               1              HB  0.21256  0.21256  0.21256  0.21256   42006088
                2               8               1              HB  0.19740  0.19740  0.19740  0.19740   42006108
                3               8               1              HB  0.21230  0.21230  0.21230  0.21230   42006188
                4               8               1              HB  0.22144  0.22144  0.22144  0.22144   42006208
                5               8               1              HB  0.21443  0.21443  0.21443  0.21443   42006288
                6               8               1              HB  0.18518  0.18518  0.18518  0.18518   42006308
                7               8               1              HB  0.19988  0.19988  0.19988  0.19988   42006388
                8               8               1              HB  0.19189  0.19189  0.19189  0.19189   42006408
                9               8               1              HB  0.19367  0.19367  0.19367  0.19367   42006488
               10               8               1              HB  0.18331  0.18331  0.18331  0.18331   42006508
               11               8               1              HB  0.18634  0.18634  0.18634  0.18634   42006588
               12               8               1              HB  0.17332  0.17332  0.17332  0.17332   42006608
               13               8               1              HB  0.15212  0.15212  0.15212  0.15212   42006688
               14               8               1              HB  0.16498  0.16498  0.16498  0.16498   42006708
               15               8               1              HB  0.14934  0.14934  0.14934  0.14934   42006788
               15               8               2              HB  0.11857  0.11857  0.11857  0.11857   4200A788
               16               8               1              HB  0.13762  0.13762  0.13762  0.13762   42006808
               16               8               2              HB  0.13473  0.13473  0.13473  0.13473   4200A808
                1               9               1              HB  0.25396  0.25396  0.25396  0.25396   42006089
                2               9               1              HB  0.24183  0.24183  0.24183  0.24183   42006109
                3               9               1              HB  0.24368  0.24368  0.24368  0.24368   42006189
                4               9               1              HB  0.23971  0.23971  0.23971  0.23971   42006209
                5               9               1              HB  0.22614  0.22614  0.22614  0.22614   42006289
                6               9               1              HB  0.22047  0.22047  0.22047  0.22047   42006309
                7               9               1              HB  0.21185  0.21185  0.21185  0.21185   42006389
                8               9               1              HB  0.20903  0.20903  0.20903  0.20903   42006409
                9               9               1              HB  0.21001  0.21001  0.21001  0.21001   42006489
               10               9               1              HB  0.20565  0.20565  0.20565  0.20565   42006509
               11               9               1              HB  0.19709  0.19709  0.19709  0.19709   42006589
               12               9               1              HB  0.20094  0.20094  0.20094  0.20094   42006609
               13               9               1              HB  0.18065  0.18065  0.18065  0.18065   42006689
               14               9               1              HB  0.18817  0.18817  0.18817  0.18817   42006709
               15               9               1              HB  0.16562  0.16562  0.16562  0.16562   42006789
               15               9               2              HB  0.13952  0.13952  0.13952  0.13952   4200A789
               16               9               1              HB  0.14744  0.14744  0.14744  0.14744   42006809
               16               9               2              HB  0.15026  0.15026  0.15026  0.15026   4200A809
                1              10               1              HB  0.24639  0.24639  0.24639  0.24639   4200608A
                2              10               1              HB  0.26506  0.26506  0.26506  0.26506   4200610A
                3              10               1              HB  0.29655  0.29655  0.29655  0.29655   4200618A
                4              10               1              HB  0.24537  0.24537  0.24537  0.24537   4200620A
                5              10               1              HB  0.24734  0.24734  0.24734  0.24734   4200628A
                6              10               1              HB  0.23658  0.23658  0.23658  0.23658   4200630A
                7              10               1              HB  0.24097  0.24097  0.24097  0.24097   4200638A
                8              10               1              HB  0.23509  0.23509  0.23509  0.23509   4200640A
                9              10               1              HB  0.21880  0.21880  0.21880  0.21880   4200648A
               10              10               1              HB  0.21992  0.21992  0.21992  0.21992   4200650A
               11              10               1              HB  0.25682  0.25682  0.25682  0.25682   4200658A
               12              10               1              HB  0.20256  0.20256  0.20256  0.20256   4200660A
               13              10               1              HB  0.17858  0.17858  0.17858  0.17858   4200668A
               14              10               1              HB  0.18283  0.18283  0.18283  0.18283   4200670A
               15              10               1              HB  0.18440  0.18440  0.18440  0.18440   4200678A
               15              10               2              HB  0.11743  0.11743  0.11743  0.11743   4200A78A
               16              10               1              HB  0.18936  0.18936  0.18936  0.18936   4200680A
               16              10               2              HB  0.14237  0.14237  0.14237  0.14237   4200A80A
                1              11               1              HB  0.23104  0.23104  0.23104  0.23104   4200608B
                2              11               1              HB  0.22284  0.22284  0.22284  0.22284   4200610B
                3              11               1              HB  0.21265  0.21265  0.21265  0.21265   4200618B
                4              11               1              HB  0.20713  0.20713  0.20713  0.20713   4200620B
                5              11               1              HB  0.19285  0.19285  0.19285  0.19285   4200628B
                6              11               1              HB  0.19746  0.19746  0.19746  0.19746   4200630B
                7              11               1              HB  0.19403  0.19403  0.19403  0.19403   4200638B
                8              11               1              HB  0.20258  0.20258  0.20258  0.20258   4200640B
                9              11               1              HB  0.17650  0.17650  0.17650  0.17650   4200648B
               10              11               1              HB  0.17767  0.17767  0.17767  0.17767   4200650B
               11              11               1              HB  0.17731  0.17731  0.17731  0.17731   4200658B
               12              11               1              HB  0.17423  0.17423  0.17423  0.17423   4200660B
               13              11               1              HB  0.16484  0.16484  0.16484  0.16484   4200668B
               14              11               1              HB  0.16676  0.16676  0.16676  0.16676   4200670B
               15              11               1              HB  0.14854  0.14854  0.14854  0.14854   4200678B
               15              11               2              HB  0.11664  0.11664  0.11664  0.11664   4200A78B
               16              11               1              HB  0.16502  0.16502  0.16502  0.16502   4200680B
               16              11               2              HB  0.13282  0.13282  0.13282  0.13282   4200A80B
                1              12               1              HB  0.19911  0.19911  0.19911  0.19911   4200608C
                2              12               1              HB  0.18107  0.18107  0.18107  0.18107   4200610C
                3              12               1              HB  0.19494  0.19494  0.19494  0.19494   4200618C
                4              12               1              HB  0.17547  0.17547  0.17547  0.17547   4200620C
                5              12               1              HB  0.19712  0.19712  0.19712  0.19712   4200628C
                6              12               1              HB  0.18176  0.18176  0.18176  0.18176   4200630C
                7              12               1              HB  0.18923  0.18923  0.18923  0.18923   4200638C
                8              12               1              HB  0.20780  0.20780  0.20780  0.20780   4200640C
                9              12               1              HB  0.18745  0.18745  0.18745  0.18745   4200648C
               10              12               1              HB  0.16440  0.16440  0.16440  0.16440   4200650C
               11              12               1              HB  0.17249  0.17249  0.17249  0.17249   4200658C
               12              12               1              HB  0.21533  0.21533  0.21533  0.21533   4200660C
               13              12               1              HB  0.15899  0.15899  0.15899  0.15899   4200668C
               14              12               1              HB  0.13189  0.13189  0.13189  0.13189   4200670C
               15              12               1              HB  0.12389  0.12389  0.12389  0.12389   4200678C
               15              12               2              HB  0.12430  0.12430  0.12430  0.12430   4200A78C
               16              12               1              HB  0.12373  0.12373  0.12373  0.12373   4200680C
               16              12               2              HB  0.12041  0.12041  0.12041  0.12041   4200A80C
                1              13               1              HB  0.21765  0.21765  0.21765  0.21765   4200608D
                2              13               1              HB  0.21515  0.21515  0.21515  0.21515   4200610D
                3              13               1              HB  0.22046  0.22046  0.22046  0.22046   4200618D
                4              13               1              HB  0.21322  0.21322  0.21322  0.21322   4200620D
                5              13               1              HB  0.20449  0.20449  0.20449  0.20449   4200628D
                6              13               1              HB  0.19541  0.19541  0.19541  0.19541   4200630D
                7              13               1              HB  0.20092  0.20092  0.20092  0.20092   4200638D
                8              13               1              HB  0.20625  0.20625  0.20625  0.20625   4200640D
                9              13               1              HB  0.18073  0.18073  0.18073  0.18073   4200648D
               10              13               1              HB  0.18333  0.18333  0.18333  0.18333   4200650D
               11              13               1              HB  0.18050  0.18050  0.18050  0.18050   4200658D
               12              13               1              HB  0.18132  0.18132  0.18132  0.18132   4200660D
               13              13               1              HB  0.17282  0.17282  0.17282  0.17282   4200668D
               14              13               1              HB  0.16330  0.16330  0.16330  0.16330   4200670D
