#             eta             phi             dep             det     cap0     cap1     cap2     cap3      DetId
               -1               6               1              HB  0.23227  0.23227  0.23227  0.23227   42004086
               -2               6               1              HB  0.21281  0.21281  0.21281  0.21281   42004106
               -3               6               1              HB  0.19726  0.19726  0.19726  0.19726   42004186
               -4               6               1              HB  0.20976  0.20976  0.20976  0.20976   42004206
               -5               6               1              HB  0.20967  0.20967  0.20967  0.20967   42004286
               -6               6               1              HB  0.19226  0.19226  0.19226  0.19226   42004306
               -7               6               1              HB  0.18945  0.18945  0.18945  0.18945   42004386
               -8               6               1              HB  0.18918  0.18918  0.18918  0.18918   42004406
               -9               6               1              HB  0.19706  0.19706  0.19706  0.19706   42004486
              -10               6               1              HB  0.18173  0.18173  0.18173  0.18173   42004506
              -11               6               1              HB  0.18388  0.18388  0.18388  0.18388   42004586
              -12               6               1              HB  0.19479  0.19479  0.19479  0.19479   42004606
              -13               6               1              HB  0.18776  0.18776  0.18776  0.18776   42004686
              -14               6               1              HB  0.16696  0.16696  0.16696  0.16696   42004706
              -15               6               1              HB  0.15270  0.15270  0.15270  0.15270   42004786
              -15               6               2              HB  0.11082  0.11082  0.11082  0.11082   42008786
              -16               6               1              HB  0.17167  0.17167  0.17167  0.17167   42004806
              -16               6               2              HB  0.13945  0.13945  0.13945  0.13945   42008806
               -1               7               1              HB  0.23937  0.23937  0.23937  0.23937   42004087
               -2               7               1              HB  0.22078  0.22078  0.22078  0.22078   42004107
               -3               7               1              HB  0.21538  0.21538  0.21538  0.21538   42004187
               -4               7               1              HB  0.22890  0.22890  0.22890  0.22890   42004207
               -5               7               1              HB  0.22025  0.22025  0.22025  0.22025   42004287
               -6               7               1              HB  0.20933  0.20933  0.20933  0.20933   42004307
               -7               7               1              HB  0.20506  0.20506  0.20506  0.20506   42004387
               -8               7               1              HB  0.20471  0.20471  0.20471  0.20471   42004407
               -9               7               1              HB  0.17661  0.17661  0.17661  0.17661   42004487
              -10               7               1              HB  0.18092  0.18092  0.18092  0.18092   42004507
              -11               7               1              HB  0.18502  0.18502  0.18502  0.18502   42004587
              -12               7               1              HB  0.18611  0.18611  0.18611  0.18611   42004607
              -13               7               1              HB  0.17776  0.17776  0.17776  0.17776   42004687
              -14               7               1              HB  0.16185  0.16185  0.16185  0.16185   42004707
              -15               7               1              HB  0.14922  0.14922  0.14922  0.14922   42004787
              -15               7               2              HB  0.11597  0.11597  0.11597  0.11597   42008787
              -16               7               1              HB  0.14823  0.14823  0.14823  0.14823   42004807
              -16               7               2              HB  0.13692  0.13692  0.13692  0.13692   42008807
               -1               8               1              HB  0.21484  0.21484  0.21484  0.21484   42004088
               -2               8               1              HB  0.20056  0.20056  0.20056  0.20056   42004108
               -3               8               1              HB  0.20070  0.20070  0.20070  0.20070   42004188
               -4               8               1              HB  0.20864  0.20864  0.20864  0.20864   42004208
               -5               8               1              HB  0.20819  0.20819  0.20819  0.20819   42004288
               -6               8               1              HB  0.19146  0.19146  0.19146  0.19146   42004308
               -7               8               1              HB  0.19252  0.19252  0.19252  0.19252   42004388
               -8               8               1              HB  0.19310  0.19310  0.19310  0.19310   42004408
               -9               8               1              HB  0.18260  0.18260  0.18260  0.18260   42004488
              -10               8               1              HB  0.17600  0.17600  0.17600  0.17600   42004508
              -11               8               1              HB  0.17095  0.17095  0.17095  0.17095   42004588
              -12               8               1              HB  0.17068  0.17068  0.17068  0.17068   42004608
              -13               8               1              HB  0.17542  0.17542  0.17542  0.17542   42004688
              -14               8               1              HB  0.15761  0.15761  0.15761  0.15761   42004708
              -15               8               1              HB  0.14205  0.14205  0.14205  0.14205   42004788
              -15               8               2              HB  0.11801  0.11801  0.11801  0.11801   42008788
              -16               8               1              HB  0.12541  0.12541  0.12541  0.12541   42004808
              -16               8               2              HB  0.12646  0.12646  0.12646  0.12646   42008808
               -1               9               1              HB  0.21917  0.21917  0.21917  0.21917   42004089
               -2               9               1              HB  0.21250  0.21250  0.21250  0.21250   42004109
               -3               9               1              HB  0.22665  0.22665  0.22665  0.22665   42004189
               -4               9               1              HB  0.21588  0.21588  0.21588  0.21588   42004209
               -5               9               1              HB  0.20383  0.20383  0.20383  0.20383   42004289
               -6               9               1              HB  0.18582  0.18582  0.18582  0.18582   42004309
               -7               9               1              HB  0.20431  0.20431  0.20431  0.20431   42004389
               -8               9               1              HB  0.20326  0.20326  0.20326  0.20326   42004409
               -9               9               1              HB  0.16912  0.16912  0.16912  0.16912   42004489
              -10               9               1              HB  0.17781  0.17781  0.17781  0.17781   42004509
              -11               9               1              HB  0.18511  0.18511  0.18511  0.18511   42004589
              -12               9               1              HB  0.17179  0.17179  0.17179  0.17179   42004609
              -13               9               1              HB  0.15984  0.15984  0.15984  0.15984   42004689
              -14               9               1              HB  0.16260  0.16260  0.16260  0.16260   42004709
              -15               9               1              HB  0.12584  0.12584  0.12584  0.12584   42004789
              -15               9               2              HB  0.11587  0.11587  0.11587  0.11587   42008789
              -16               9               1              HB  0.12429  0.12429  0.12429  0.12429   42004809
              -16               9               2              HB  0.12705  0.12705  0.12705  0.12705   42008809
               -1              10               1              HB  0.17593  0.17593  0.17593  0.17593   4200408A
               -2              10               1              HB  0.16992  0.16992  0.16992  0.16992   4200410A
               -3              10               1              HB  0.16462  0.16462  0.16462  0.16462   4200418A
               -4              10               1              HB  0.16786  0.16786  0.16786  0.16786   4200420A
               -5              10               1              HB  0.16929  0.16929  0.16929  0.16929   4200428A
               -6              10               1              HB  0.16531  0.16531  0.16531  0.16531   4200430A
               -7              10               1              HB  0.15980  0.15980  0.15980  0.15980   4200438A
               -8              10               1              HB  0.15070  0.15070  0.15070  0.15070   4200440A
               -9              10               1              HB  0.14062  0.14062  0.14062  0.14062   4200448A
              -10              10               1              HB  0.14460  0.14460  0.14460  0.14460   4200450A
              -11              10               1              HB  0.14566  0.14566  0.14566  0.14566   4200458A
              -12              10               1              HB  0.13706  0.13706  0.13706  0.13706   4200460A
              -13              10               1              HB  0.14338  0.14338  0.14338  0.14338   4200468A
              -14              10               1              HB  0.14175  0.14175  0.14175  0.14175   4200470A
              -15              10               1              HB  0.11540  0.11540  0.11540  0.11540   4200478A
              -15              10               2              HB  0.08925  0.08925  0.08925  0.08925   4200878A
              -16              10               1              HB  0.14138  0.14138  0.14138  0.14138   4200480A
              -16              10               2              HB  0.09825  0.09825  0.09825  0.09825   4200880A
               -1              11               1              HB  0.22316  0.22316  0.22316  0.22316   4200408B
               -2              11               1              HB  0.21578  0.21578  0.21578  0.21578   4200410B
               -3              11               1              HB  0.21873  0.21873  0.21873  0.21873   4200418B
               -4              11               1              HB  0.20678  0.20678  0.20678  0.20678   4200420B
               -5              11               1              HB  0.19162  0.19162  0.19162  0.19162   4200428B
               -6              11               1              HB  0.21082  0.21082  0.21082  0.21082   4200430B
               -7              11               1              HB  0.21031  0.21031  0.21031  0.21031   4200438B
               -8              11               1              HB  0.20106  0.20106  0.20106  0.20106   4200440B
               -9              11               1              HB  0.18415  0.18415  0.18415  0.18415   4200448B
              -10              11               1              HB  0.19074  0.19074  0.19074  0.19074   4200450B
              -11              11               1              HB  0.19736  0.19736  0.19736  0.19736   4200458B
              -12              11               1              HB  0.17591  0.17591  0.17591  0.17591   4200460B
              -13              11               1              HB  0.18588  0.18588  0.18588  0.18588   4200468B
              -14              11               1              HB  0.16112  0.16112  0.16112  0.16112   4200470B
              -15              11               1              HB  0.13883  0.13883  0.13883  0.13883   4200478B
              -15              11               2              HB  0.12192  0.12192  0.12192  0.12192   4200878B
              -16              11               1              HB  0.16398  0.16398  0.16398  0.16398   4200480B
              -16              11               2              HB  0.12892  0.12892  0.12892  0.12892   4200880B
               -1              12               1              HB  0.22018  0.22018  0.22018  0.22018   4200408C
               -2              12               1              HB  0.21074  0.21074  0.21074  0.21074   4200410C
               -3              12               1              HB  0.21575  0.21575  0.21575  0.21575   4200418C
               -4              12               1              HB  0.20184  0.20184  0.20184  0.20184   4200420C
               -5              12               1              HB  0.19218  0.19218  0.19218  0.19218   4200428C
               -6              12               1              HB  0.18522  0.18522  0.18522  0.18522   4200430C
               -7              12               1              HB  0.20072  0.20072  0.20072  0.20072   4200438C
               -8              12               1              HB  0.19699  0.19699  0.19699  0.19699   4200440C
               -9              12               1              HB  0.18545  0.18545  0.18545  0.18545   4200448C
              -10              12               1              HB  0.17627  0.17627  0.17627  0.17627   4200450C
              -11              12               1              HB  0.17554  0.17554  0.17554  0.17554   4200458C
              -12              12               1              HB  0.17566  0.17566  0.17566  0.17566   4200460C
              -13              12               1              HB  0.16502  0.16502  0.16502  0.16502   4200468C
              -14              12               1              HB  0.15567  0.15567  0.15567  0.15567   4200470C
              -15              12               1              HB  0.15373  0.15373  0.15373  0.15373   4200478C
              -15              12               2              HB  0.13881  0.13881  0.13881  0.13881   4200878C
              -16              12               1              HB  0.12767  0.12767  0.12767  0.12767   4200480C
              -16              12               2              HB  0.13785  0.13785  0.13785  0.13785   4200880C
               -1              13               1              HB  0.23354  0.23354  0.23354  0.23354   4200408D
               -2              13               1              HB  0.22046  0.22046  0.22046  0.22046   4200410D
               -3              13               1              HB  0.20901  0.20901  0.20901  0.20901   4200418D
               -4              13               1              HB  0.20134  0.20134  0.20134  0.20134   4200420D
               -5              13               1              HB  0.21203  0.21203  0.21203  0.21203   4200428D
               -6              13               1              HB  0.21169  0.21169  0.21169  0.21169   4200430D
               -7              13               1              HB  0.19631  0.19631  0.19631  0.19631   4200438D
               -8              13               1              HB  0.18912  0.18912  0.18912  0.18912   4200440D
               -9              13               1              HB  0.17346  0.17346  0.17346  0.17346   4200448D
              -10              13               1              HB  0.20113  0.20113  0.20113  0.20113   4200450D
              -11              13               1              HB  0.18914  0.18914  0.18914  0.18914   4200458D
              -12              13               1              HB  0.19005  0.19005  0.19005  0.19005   4200460D
              -13              13               1              HB  0.19912  0.19912  0.19912  0.19912   4200468D
              -14              13               1              HB  0.16965  0.16965  0.16965  0.16965   4200470D
              -15              13               1              HB  0.15461  0.15461  0.15461  0.15461   4200478D
